"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Upper trophic level aggregates","Far West","hzoop","~","chla_1",0.0261,0.0637,0.6825
"Upper trophic level aggregates","Far West","hzoop","~","hzoop_1",0.3265,0.0627,0
"Upper trophic level aggregates","Far West","hzoop","~","pzoop_1",0.0601,0.066,0.3619
"Upper trophic level aggregates","Far West","hzoop","~","potam_1",-0.2099,0.0634,9e-04
"Upper trophic level aggregates","Far West","hzoop","~","estfish_bsmt_1",-0.1682,0.0677,0.013
"Upper trophic level aggregates","Far West","hzoop","~","flow",-0.0304,0.0725,0.6748
"Upper trophic level aggregates","Far West","hzoop","~","temp",-0.0858,0.068,0.2067
"Upper trophic level aggregates","Far West","hzoop","~","turbid",0.0444,0.072,0.5377
"Upper trophic level aggregates","Far West","pzoop","~","hzoop_1",0.0498,0.0663,0.4523
"Upper trophic level aggregates","Far West","pzoop","~","pzoop_1",0.3481,0.0607,0
"Upper trophic level aggregates","Far West","pzoop","~","potam_1",-0.1102,0.064,0.0854
"Upper trophic level aggregates","Far West","pzoop","~","estfish_bsmt_1",-0.0296,0.0685,0.6656
"Upper trophic level aggregates","Far West","pzoop","~","flow",0.0761,0.0718,0.2889
"Upper trophic level aggregates","Far West","pzoop","~","temp",-0.0166,0.068,0.8068
"Upper trophic level aggregates","Far West","pzoop","~","turbid",0.2147,0.0699,0.0021
"Upper trophic level aggregates","Far West","estfish_bsmt","~","hzoop_1",-0.1977,0.0592,8e-04
"Upper trophic level aggregates","Far West","estfish_bsmt","~","pzoop_1",0.1286,0.0609,0.0349
"Upper trophic level aggregates","Far West","estfish_bsmt","~","estfish_bsmt_1",0.3529,0.0617,0
"Upper trophic level aggregates","Far West","estfish_bsmt","~","flow",0.0901,0.0678,0.1841
"Upper trophic level aggregates","Far West","estfish_bsmt","~","temp",-0.0339,0.0638,0.5951
"Upper trophic level aggregates","Far West","estfish_bsmt","~","turbid",0.2327,0.0659,4e-04
"Upper trophic level aggregates","Far West","estfish_bsmt","~","marfish_bsmt_1",0.001,0.061,0.9875
"Upper trophic level aggregates","Far West","estfish_bsmt","~","sbass1_bsmt_1",-0.0191,0.065,0.7691
"Upper trophic level aggregates","Far West","hzoop","~~","hzoop",0.755,0.0506,0
"Upper trophic level aggregates","Far West","pzoop","~~","pzoop",0.7502,0.0507,0
"Upper trophic level aggregates","Far West","estfish_bsmt","~~","estfish_bsmt",0.639,0.0503,0
"Upper trophic level aggregates","Far West","hzoop","~~","pzoop",-0.0367,0.0723,0.6115
"Upper trophic level aggregates","Far West","hzoop","~~","estfish_bsmt",-0.0704,0.072,0.3285
"Upper trophic level aggregates","Far West","pzoop","~~","estfish_bsmt",-0.1234,0.0713,0.0832
"Upper trophic level aggregates","Far West","chla_1","~~","chla_1",1,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","hzoop_1",0.1272,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","pzoop_1",-0.005,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","potam_1",0.0309,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","estfish_bsmt_1",-0.0664,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","flow",0.0499,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","temp",0.0231,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","turbid",-0.0524,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","marfish_bsmt_1",-0.036,0,NA
"Upper trophic level aggregates","Far West","chla_1","~~","sbass1_bsmt_1",-0.2082,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","hzoop_1",1,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","pzoop_1",0.0805,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","potam_1",-0.2002,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","estfish_bsmt_1",-0.2128,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","flow",-0.0229,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","temp",0.1972,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","turbid",0.0123,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","marfish_bsmt_1",-0.0607,0,NA
"Upper trophic level aggregates","Far West","hzoop_1","~~","sbass1_bsmt_1",-0.1192,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","pzoop_1",1,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","potam_1",-0.0352,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","estfish_bsmt_1",0.0251,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","flow",0.2441,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","temp",-0.1641,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","turbid",0.1955,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","marfish_bsmt_1",-0.2075,0,NA
"Upper trophic level aggregates","Far West","pzoop_1","~~","sbass1_bsmt_1",0.1433,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","potam_1",1,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","estfish_bsmt_1",0.206,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","flow",0.0436,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","temp",-0.0726,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","turbid",0.0736,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","marfish_bsmt_1",0.0361,0,NA
"Upper trophic level aggregates","Far West","potam_1","~~","sbass1_bsmt_1",0.159,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","estfish_bsmt_1",1,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","flow",0.252,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","temp",-0.246,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","turbid",0.2012,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","marfish_bsmt_1",0.084,0,NA
"Upper trophic level aggregates","Far West","estfish_bsmt_1","~~","sbass1_bsmt_1",0.3628,0,NA
"Upper trophic level aggregates","Far West","flow","~~","flow",1,0,NA
"Upper trophic level aggregates","Far West","flow","~~","temp",-0.186,0,NA
"Upper trophic level aggregates","Far West","flow","~~","turbid",0.4303,0,NA
"Upper trophic level aggregates","Far West","flow","~~","marfish_bsmt_1",-0.2332,0,NA
"Upper trophic level aggregates","Far West","flow","~~","sbass1_bsmt_1",0.1682,0,NA
"Upper trophic level aggregates","Far West","temp","~~","temp",1,0,NA
"Upper trophic level aggregates","Far West","temp","~~","turbid",-0.2613,0,NA
"Upper trophic level aggregates","Far West","temp","~~","marfish_bsmt_1",0.144,0,NA
"Upper trophic level aggregates","Far West","temp","~~","sbass1_bsmt_1",-0.278,0,NA
"Upper trophic level aggregates","Far West","turbid","~~","turbid",1,0,NA
"Upper trophic level aggregates","Far West","turbid","~~","marfish_bsmt_1",-0.083,0,NA
"Upper trophic level aggregates","Far West","turbid","~~","sbass1_bsmt_1",0.3117,0,NA
"Upper trophic level aggregates","Far West","marfish_bsmt_1","~~","marfish_bsmt_1",1,0,NA
"Upper trophic level aggregates","Far West","marfish_bsmt_1","~~","sbass1_bsmt_1",-0.074,0,NA
"Upper trophic level aggregates","Far West","sbass1_bsmt_1","~~","sbass1_bsmt_1",1,0,NA
"Upper trophic level aggregates","Far West","hb",":=","sqrt(hb1^2)",0.0261,0.0637,0.6825
"Upper trophic level aggregates","Far West","hs",":=","sqrt(hs1^2)",0.3265,0.0627,0
"Upper trophic level aggregates","Far West","ht",":=","sqrt(ht1^2+ht2^2+ht3^2)",0.2756,0.0571,0
"Upper trophic level aggregates","Far West","ha",":=","sqrt(ha1^2+ha2^2+ha3^2)",0.1013,0.0681,0.137
"Upper trophic level aggregates","Far West","pb",":=","sqrt(pb1^2)",0.0498,0.0663,0.4523
"Upper trophic level aggregates","Far West","ps",":=","sqrt(ps1^2)",0.3481,0.0607,0
"Upper trophic level aggregates","Far West","pt",":=","sqrt(pt1^2+pt2^2)",0.1141,0.0615,0.0637
"Upper trophic level aggregates","Far West","pa",":=","sqrt(pa1^2+pa2^2+pa3^2)",0.2284,0.0597,1e-04
"Upper trophic level aggregates","Far West","fb",":=","sqrt(fb1^2+fb2^2)",0.2359,0.0616,1e-04
"Upper trophic level aggregates","Far West","fs",":=","sqrt(fs1^2)",0.3529,0.0617,0
"Upper trophic level aggregates","Far West","ft",":=","sqrt(ft1^2+ft2^2)",0.0191,0.0647,0.7681
"Upper trophic level aggregates","Far West","fa",":=","sqrt(fa1^2+fa2^2+fa3^2)",0.2518,0.055,0
"Upper trophic level aggregates","West","hzoop","~","chla_1",0.0471,0.0609,0.4391
"Upper trophic level aggregates","West","hzoop","~","hzoop_1",0.4001,0.0626,0
"Upper trophic level aggregates","West","hzoop","~","pzoop_1",0.0203,0.0616,0.7414
"Upper trophic level aggregates","West","hzoop","~","potam_1",-0.1684,0.0626,0.0071
"Upper trophic level aggregates","West","hzoop","~","estfish_bsmt_1",0.019,0.0601,0.7516
"Upper trophic level aggregates","West","hzoop","~","flow",0.1835,0.064,0.0041
"Upper trophic level aggregates","West","hzoop","~","temp",0.0053,0.0602,0.9293
"Upper trophic level aggregates","West","hzoop","~","turbid",-0.1635,0.0623,0.0087
"Upper trophic level aggregates","West","pzoop","~","chla_1",0.1812,0.0589,0.0021
"Upper trophic level aggregates","West","pzoop","~","hzoop_1",0.1128,0.067,0.0925
"Upper trophic level aggregates","West","pzoop","~","pzoop_1",0.4139,0.055,0
"Upper trophic level aggregates","West","pzoop","~","potam_1",-0.0872,0.0623,0.1614
"Upper trophic level aggregates","West","pzoop","~","estfish_bsmt_1",0.0371,0.0597,0.5349
"Upper trophic level aggregates","West","pzoop","~","flow",-0.0982,0.0645,0.1278
"Upper trophic level aggregates","West","pzoop","~","temp",0.191,0.0586,0.0011
"Upper trophic level aggregates","West","pzoop","~","turbid",0.0291,0.0628,0.6426
"Upper trophic level aggregates","West","estfish_bsmt","~","hzoop_1",0.1383,0.0683,0.043
"Upper trophic level aggregates","West","estfish_bsmt","~","pzoop_1",-0.076,0.0661,0.25
"Upper trophic level aggregates","West","estfish_bsmt","~","estfish_bsmt_1",0.1687,0.0683,0.0135
"Upper trophic level aggregates","West","estfish_bsmt","~","flow",-0.2072,0.0678,0.0022
"Upper trophic level aggregates","West","estfish_bsmt","~","temp",0.0204,0.0643,0.7512
"Upper trophic level aggregates","West","estfish_bsmt","~","turbid",0.2277,0.0641,4e-04
"Upper trophic level aggregates","West","estfish_bsmt","~","sbass1_bsmt_1",0.2304,0.064,3e-04
"Upper trophic level aggregates","West","hzoop","~~","hzoop",0.6754,0.0486,0
"Upper trophic level aggregates","West","pzoop","~~","pzoop",0.6687,0.0485,0
"Upper trophic level aggregates","West","estfish_bsmt","~~","estfish_bsmt",0.7853,0.0472,0
"Upper trophic level aggregates","West","hzoop","~~","pzoop",0.2556,0.0645,1e-04
"Upper trophic level aggregates","West","hzoop","~~","estfish_bsmt",-0.1155,0.0681,0.0899
"Upper trophic level aggregates","West","pzoop","~~","estfish_bsmt",0.1864,0.0666,0.0051
"Upper trophic level aggregates","West","chla_1","~~","chla_1",1,0,NA
"Upper trophic level aggregates","West","chla_1","~~","hzoop_1",0.3337,0,NA
"Upper trophic level aggregates","West","chla_1","~~","pzoop_1",0.0946,0,NA
"Upper trophic level aggregates","West","chla_1","~~","potam_1",-0.0282,0,NA
"Upper trophic level aggregates","West","chla_1","~~","estfish_bsmt_1",-0.0561,0,NA
"Upper trophic level aggregates","West","chla_1","~~","flow",0.1839,0,NA
"Upper trophic level aggregates","West","chla_1","~~","temp",-0.1822,0,NA
"Upper trophic level aggregates","West","chla_1","~~","turbid",0.0141,0,NA
"Upper trophic level aggregates","West","chla_1","~~","sbass1_bsmt_1",-0.0775,0,NA
"Upper trophic level aggregates","West","hzoop_1","~~","hzoop_1",1,0,NA
"Upper trophic level aggregates","West","hzoop_1","~~","pzoop_1",0.2567,0,NA
"Upper trophic level aggregates","West","hzoop_1","~~","potam_1",-0.3022,0,NA
"Upper trophic level aggregates","West","hzoop_1","~~","estfish_bsmt_1",-0.0388,0,NA
